id;stock;news_dt;check_day;open;close;high;low;volume;change;sentiment_summary_avg;sentiment_summary_med;sentiment_title_avg;sentiment_title_med
AAPL_2021-06-06;AAPL;2021-06-06 01:43:57;2021-06-07;0;0;0;0;0;UNCHECKED;0.7717;0.7717;0.0;0.0
AAPL_2021-06-05;AAPL;2021-06-05 20:50:11;2021-06-07;0;0;0;0;0;UNCHECKED;0.6103666666666667;0.4927;0.129;0.0258
AAPL_2021-06-04;AAPL;2021-06-04 23:30:34;2021-06-07;0;0;0;0;0;UNCHECKED;0.2488375;0.33455;0.135075;0.0
MSFT_2021-06-05;MSFT;2021-06-05 10:52:00;2021-06-07;0;0;0;0;0;UNCHECKED;0.85805;0.85805;0.12195;0.12195
MSFT_2021-06-04;MSFT;2021-06-04 22:15:18;2021-06-07;0;0;0;0;0;UNCHECKED;0.5129400000000001;0.5859;0.0653133333333333;0.0
NFLX_2021-06-05;NFLX;2021-06-05 15:00:00;2021-06-07;0;0;0;0;0;UNCHECKED;0.2732;0.2732;0.0;0.0
NFLX_2021-06-04;NFLX;2021-06-04 19:00:42;2021-06-04;0;0;0;0;0;UNCHECKED;0.6389166666666667;0.70785;0.1393333333333333;0.10115
NFLX_2021-06-03;NFLX;2021-06-03 23:01:13;2021-06-04;0;0;0;0;0;UNCHECKED;-0.01208;0.0;-0.07026;0.0
NFLX_2021-06-02;NFLX;2021-06-02 21:45:09;2021-06-03;0;0;0;0;0;UNCHECKED;0.4616;0.5195;0.07165;0.1591
NFLX_2021-06-01;NFLX;2021-06-01 12:00:23;2021-06-01;0;0;0;0;0;UNCHECKED;0.8957;0.8957;0.7096;0.7096
NFLX_2021-05-31;NFLX;2021-05-31 15:40:03;2021-05-31;0;0;0;0;0;UNCHECKED;0.5231666666666667;0.6249;0.3864;0.5106
